"r","37","""C:\Users\Harrison Wynn\AppData\Local\Programs\Python\Python39\python.exe"" ""C:/Users/Harrison Wynn/Documents/CS 1400 Homework/Wynn-Harrison-Assn13/modules/memory_test.py""",,"PythonRunner",,"1638997568267","memory_test.py"
"o","37",,"Testing the Card
",,"stdout","1638997568328",
"o","37",,"Hit Enter to create a card with an ID of 10",,"stdout","1638997568328",
"o","37",,"Now hit Enter to display the card",,"stdout","1638997573000",
"o","37",," 
",,"stdout","1638997575962",
"o","37",,"Nothing displayed. Now hit Enter to flip the card",,"stdout","1638997575962",
"o","37",,"Now hit Enter to display the card",,"stdout","1638997580443",
"o","37",,"y
",,"stdout","1638997583648",
"o","37",,"The first card's symbol is a &
",,"stdout","1638997583648",
"o","37",,"Hit Enter to create, flip, and display a card with an ID of 50",,"stdout","1638997583648",
"o","37",,"-
",,"stdout","1638997602791",
"o","37",,"The second card's symbol is a :
",,"stdout","1638997602791",
"o","37",,"Hit Enter to create, flip, and display a card with an ID of 51",,"stdout","1638997602791",
"o","37",,"c
",,"stdout","1638997613481",
"o","37",,"Card 2 and 3 match event though they have different ID values
",,"stdout","1638997613481",
"o","37",,"Hit Enter to test the game board",,"stdout","1638997613481",
"o","37",,"
",,"stdout","1638997634821",
"o","37",,"Testing the Board
",,"stdout","1638997634821",
"o","37",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"3 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"------------------------------------------
",,"stdout","1638997634821",
"o","37",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997634821",
"o","37",,"Hit Enter to flip card at 7, 5",,"stdout","1638997634821",
"o","37",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"3 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"7 |   |   |   |   | ] |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"------------------------------------------
",,"stdout","1638997663442",
"o","37",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997663442",
"o","37",,"Hit Enter to flip back card at 7, 5",,"stdout","1638997663442",
